id,organization,specialty,qualification,employee_id,attainment_id
NULL,"Бюджетное профессиональное образовательное учреждение Вологодской области "Вологодский областной колледж искусств"","Инструментальное исполнительство (по видам инструментов)","Артист, преподаватель, концертмейстер",112,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту. Преподаватель",113,1
NULL,"Федеральное государственное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура",Магистр,114,2
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имеи П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту",115,1
NULL,"Аспирантура Федеральное государственное образовательное учреждение высшего профессионального образования "Санкт-Петербургский государственный университет"","Экономическая, социальная, политическая и рекреационная география",Аспирант,116,4
NULL,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение "Училище олимпийского резерва № 1"","Физическая культура","Педагог по физической культуре и спорту",117,5
NULL,"ФГОУ ВПО "Санкт-Петербургская государственная академия физической культуры им. П.Ф. Лесгафта", Федеральный институт повышения квалификации и переподготовки","Адаптивная физическая культура, Психолого-педагогическое образование",Специалист,118,1
NULL,"ГАОУ ВО ЛО «Ленинградский государственный университет имени А.С. Пушкина»","Психолого-педагогическое образование",Бакалавр,119,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"","Психолого-педагогическое образование",Бакалавр,120,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"","Социальная работа",Магистр,121,2
NULL,"Комсомольский-на-Амуре государственный педагогический институт",NULL,"Учитель биологии, педагог-психолог",122,1
NULL,"ФГБОУ ВО Новгородский государственный университет им. Я. Мудрого",Психология,Бакалавр,123,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования “Российский государственный педагогический университет им. А.И. Герцена”","Специальность: Психолого-педагогическое образование",Бакалавр,124,3
NULL,"Балтийский институт экологии, политики и права",Юриспруденция,Юрист,125,1
NULL,NULL,"Преподавание в начальных классах","Квалификация: Учитель начальных классов с углубленным изучением психологии",125,5
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского"","Психолого-педагогическое образование",Бакалавр,126,3
NULL,"Федеральное государственное автономное образовательное учреждение высшего образования "Северный (Арктический) федеральный университет имени М.В. Ломоносова"","Дошкольная педагогика и психология","Преподаватель дошкольной педагогики и психологии",127,1
NULL,"Государственное образовательное учреждение высшего профессионального образования Ставропольский государственный педагогический институт","Профессиональное обучение (дизайн)","Педагог профессионального обучения",128,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Липецкий государственный педагогический университет имени П.П. Семенова -Тян-Шанского"","Изобразительное искусство","Учитель изобразительного искусства",129,1
NULL,"ФГБОУВО "Российский государственный педагогический университет им. А.И. Герцена"","Педагогическое образование",Бакалавр,130,3
NULL,"Государственное учреждение Волгоградское педагогическое училище № 1","Дошкольное образование","Воспитатель детей дошкольного возраста",131,5
